Date,Open,High,Low,Close,Adj Close,Volume
1/1/2013,581.900024,582.474976,576.388,577.213013,436.387756,1479996
1/2/2013,579.049988,582,575.875,577.299988,436.453522,2174972
1/3/2013,578.75,587.213013,577.75,584.474976,441.878021,5299644
1/4/2013,587.099976,588.737,583,587.388,444.080322,4227004
1/7/2013,587.775024,594.974976,583.888,593.700012,448.852295,4380812
1/8/2013,591.25,591.987,580.875,586,443.031006,6433712
1/9/2013,585.049988,590.450012,580.825012,582.75,440.573883,3074984
1/10/2013,582.75,585.661987,577.299988,580.575012,438.929504,5450508
1/11/2013,630.25,680.5,630.25,678.025024,512.604187,46426284
1/14/2013,689.950012,709.237,688.062012,701.625,530.446411,25462380
1/15/2013,701.5,702.362,693.625,696.763,526.770691,10188940
1/16/2013,695.25,697.200012,688.875,691.862,523.065308,5830412
1/17/2013,698,701.661987,694.799988,699.487,528.830017,5883536
1/18/2013,701.25,702.5,694.362,697.013,526.959595,3645296
1/21/2013,690.763,702.650024,690.763,699.075012,528.518433,2949780
1/22/2013,698.400024,699.661987,694.25,695.888,526.109131,2555140
1/23/2013,695.25,699.5,695.25,697.400024,527.252319,3729356
1/24/2013,702.5,707,697.687988,699.549988,528.877747,5605648
1/25/2013,702.5,707,697.786987,703.661987,531.98645,4221268
1/28/2013,703,706.900024,700.25,702.661987,531.230347,3361504
1/29/2013,701.5,706.25,697.138,699.75,529.028809,3098592
1/30/2013,701.187988,701.487,695.138,697.661987,527.450195,3402764
1/31/2013,698,701.775024,692.5,697.375,527.233337,8740220
2/1/2013,697.775024,700.474976,688,692.737,523.726929,3949824
2/4/2013,695.25,697.5,686.25,691.900024,523.094116,3750008
2/5/2013,690.812012,695.588013,686.388,688.974976,520.88269,3083056
2/6/2013,693.812012,697.013,688.963013,694,524.681702,4548672
2/7/2013,696.5,699.75,695.013,697.375,527.233337,5352236
2/8/2013,695.786987,704.174988,693.062012,697.362,527.223389,2741348
2/11/2013,700.312012,703.737,696.224976,698.013,527.715576,3697396
2/12/2013,692.5,693.525024,685.437988,688.812012,520.759521,2221196
2/13/2013,689.25,699.286987,686.25,697.388,527.243103,3161444
2/14/2013,698.599976,707,698.588013,703.187988,531.628052,3447000
2/15/2013,697.5,702.125,694.075012,697.150024,527.063171,2597128
2/18/2013,695.75,696.674988,690.75,695.025024,525.456787,1377392
2/19/2013,695.025024,706.25,691.763,705.112,533.082703,2321672
2/20/2013,706.312012,708.088013,702.125,704.862,532.893677,2772612
2/21/2013,700.400024,704.974976,698.286987,701.950012,530.692139,2779372
2/22/2013,699.674988,713.75,699.275024,710.138,536.882507,4351768
2/25/2013,717.5,730.5,716.900024,729.450012,551.482788,5228824
2/26/2013,729,742.349976,729,739.950012,559.420959,6086772
2/27/2013,737,737,725.525024,727.638,550.112854,3514880
2/28/2013,728.825012,733.963013,721.349976,726.75,549.441589,5904052
3/1/2013,728.5,740.349976,723,728.450012,550.726868,4207316
3/4/2013,731.5,735.625,718.036987,725.862,548.770203,5054160
3/5/2013,731.138,734.849976,728.312012,730.325012,552.144409,3585972
3/6/2013,736.75,744.174988,731.562012,742.525024,561.367859,6102740
3/7/2013,745.312012,752.450012,745,751.088013,567.841858,6857680
3/8/2013,747,747.25,739.312012,742.562012,561.395874,3081448
3/11/2013,745.450012,747.5,732.5,736.437988,556.765991,2433080
3/12/2013,735,736.174988,728,729.525024,551.539551,2857028
3/13/2013,722.5,722.5,712.525024,715.862,541.209961,5365068
3/14/2013,716.5,722.224976,710.724976,718.525024,543.223206,4166160
3/15/2013,719.088013,727.911987,717.013,719.562012,544.007202,3630396
