Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,312.950012,314.450012,308.000000,309.350006,272.271973,1030998
2013-01-01,312.450012,313.950012,309.924988,311.075012,273.790192,611590
2013-01-02,313.000000,313.424988,310.424988,312.625000,275.154419,1161158
2013-01-03,315.000000,316.000000,312.024994,312.975006,275.462524,2020542
2013-01-04,314.125000,318.200012,313.500000,317.024994,279.027039,2202940
2013-01-07,319.500000,319.500000,313.049988,313.950012,276.320618,602976
2013-01-08,313.475006,317.774994,312.350006,317.350006,279.313110,1290466
2013-01-09,317.000000,321.424988,316.325012,317.924988,279.819214,1279630
2013-01-10,319.250000,325.850006,318.549988,320.799988,282.349640,1682064
2013-01-11,327.000000,328.725006,321.549988,322.424988,283.779816,3414296
2013-01-14,325.000000,338.000000,324.200012,336.399994,296.079803,6051206
2013-01-15,338.500000,340.600006,331.125000,332.049988,292.251251,2093382
2013-01-16,333.250000,340.475006,329.200012,336.899994,296.519897,5330426
2013-01-17,351.000000,360.649994,344.799988,352.000000,309.809998,14793440
2013-01-18,350.500000,358.375000,350.250000,352.825012,310.536133,4455700
2013-01-21,350.075012,359.024994,348.750000,357.600006,316.533112,2261614
2013-01-22,358.000000,358.000000,347.325012,348.825012,308.765869,1371218
2013-01-23,350.000000,351.975006,332.125000,338.200012,299.361023,5799206
2013-01-24,338.450012,341.500000,331.750000,333.174988,294.913086,2367698
2013-01-25,335.850006,342.250000,332.125000,340.524994,301.418976,2648430
2013-01-28,339.500000,352.000000,339.500000,348.299988,308.301086,3729948
2013-01-29,348.250000,351.450012,343.850006,345.950012,306.220978,2817338
2013-01-30,347.399994,349.950012,342.625000,344.500000,304.937469,2408528
2013-01-31,344.850006,351.350006,340.049988,344.000000,304.494843,4946902
2013-02-01,344.975006,348.450012,341.075012,343.975006,304.472839,1438378
2013-02-04,343.975006,346.250000,340.000000,341.100006,301.927887,1254650
2013-02-05,338.125000,340.750000,334.250000,335.549988,297.015350,1966844
2013-02-06,338.350006,338.649994,334.649994,335.024994,296.550537,5683888
2013-02-07,334.225006,335.950012,332.799988,334.375000,295.975250,2067638
2013-02-08,335.000000,338.125000,333.149994,335.100006,296.617004,3104364
2013-02-11,337.000000,337.000000,326.000000,329.750000,291.881409,8880306
2013-02-12,330.000000,340.174988,326.975006,339.250000,300.290405,2474342
2013-02-13,341.000000,357.149994,340.975006,354.674988,313.943939,5717308
2013-02-14,355.000000,359.500000,350.725006,354.125000,313.457184,4698870
2013-02-15,353.250000,354.000000,346.274994,348.500000,308.478180,2505966
2013-02-18,348.750000,351.725006,344.125000,345.600006,305.911163,1912548
2013-02-19,346.000000,354.350006,344.625000,352.750000,312.240051,1310260
2013-02-20,351.000000,363.350006,349.850006,361.424988,319.918854,7647062
2013-02-21,358.649994,366.225006,358.625000,360.100006,318.746002,4035272
2013-02-22,358.774994,364.000000,357.500000,360.125000,318.768097,2424152
2013-02-25,360.750000,367.475006,358.575012,366.774994,324.654510,1713666
2013-02-26,367.500000,368.299988,362.274994,363.350006,321.622803,2035082
2013-02-27,364.000000,365.500000,355.649994,359.899994,318.568970,1355942
2013-02-28,360.625000,365.600006,359.950012,361.700012,320.162231,2875956
2013-03-01,361.049988,364.774994,358.100006,361.225006,319.741821,2092662
2013-03-04,358.174988,364.500000,355.799988,357.725006,316.643707,1855128
2013-03-05,357.524994,374.399994,357.524994,372.825012,330.009644,3982024
2013-03-06,374.000000,378.975006,373.299988,378.149994,334.723053,2092988
2013-03-07,377.774994,386.975006,377.774994,385.700012,341.406128,3944626
2013-03-08,386.524994,391.475006,383.799988,386.575012,342.180573,6361944
2013-03-11,385.524994,392.950012,385.524994,391.450012,346.495758,5066526
2013-03-12,390.200012,390.750000,383.350006,386.725006,342.313354,2361088
2013-03-13,385.000000,391.799988,384.674988,389.299988,344.592621,3054550
2013-03-14,390.000000,398.049988,386.575012,395.774994,350.324036,2781678
2013-03-15,396.500000,401.700012,395.149994,395.975006,350.501068,2642854
2013-03-18,393.600006,402.750000,393.024994,401.024994,354.971191,2967396
2013-03-19,400.325012,400.950012,390.174988,390.774994,345.898254,3248682
2013-03-20,390.549988,392.149994,384.549988,387.100006,342.645264,5001258
2013-03-21,387.250000,392.049988,385.500000,386.549988,342.158417,2306010
2013-03-22,384.149994,387.950012,381.575012,383.975006,339.879181,2258294
2013-03-25,385.500000,386.274994,380.000000,383.549988,339.502960,2608028
2013-03-26,384.825012,389.450012,384.049988,387.700012,343.176453,1793296
2013-03-28,395.250000,402.500000,390.000000,397.500000,351.850952,12234418
2013-04-01,397.524994,400.000000,391.125000,394.250000,348.974091,810296
2013-04-02,396.375000,399.399994,393.700012,397.924988,352.227112,1496388
2013-04-03,400.500000,403.625000,388.299988,390.274994,345.455658,2091452
2013-04-04,387.450012,388.299988,369.649994,372.750000,329.943298,3285122
2013-04-05,371.125000,382.399994,371.125000,378.475006,335.010773,2671716
2013-04-08,378.475006,383.500000,370.549988,372.674988,329.876892,1505430
2013-04-09,375.625000,377.399994,369.299988,370.250000,327.730286,2253782
2013-04-10,371.000000,385.875000,368.250000,382.500000,338.573547,1898240
2013-04-11,384.899994,396.850006,383.500000,395.350006,349.947815,2612044
2013-04-12,379.500000,390.649994,379.375000,388.049988,343.486145,4798608
2013-04-15,387.500000,392.000000,381.625000,382.475006,338.551483,4912316
2013-04-16,379.950012,385.225006,378.850006,381.399994,337.599792,3669770
2013-04-17,402.600006,405.000000,372.524994,375.649994,332.510101,14111174
2013-04-18,378.399994,384.000000,365.325012,368.125000,325.849396,4782794
2013-04-22,370.000000,372.000000,358.125000,360.575012,320.910004,5820500
2013-04-23,362.399994,368.875000,360.799988,366.075012,325.804901,4459884
2013-04-25,367.500000,367.500000,357.174988,359.524994,319.975494,3991128
2013-04-26,358.649994,358.649994,338.825012,342.125000,304.489563,7329630
2013-04-29,341.524994,351.424988,336.475006,350.399994,311.854218,3670488
2013-04-30,349.625000,362.200012,349.625000,360.700012,321.021149,3693488
2013-05-02,360.725006,375.600006,360.700012,367.875000,327.406830,6741812
2013-05-03,370.500000,378.350006,370.000000,375.225006,333.948395,4791040
2013-05-06,376.500000,384.500000,374.000000,375.000000,333.748108,3423508
2013-05-07,377.500000,380.000000,371.700012,376.750000,335.305634,3552282
2013-05-08,377.500000,379.700012,374.625000,375.450012,334.148621,2258176
2013-05-09,377.250000,391.799988,376.500000,385.075012,342.714752,4364514
2013-05-10,386.750000,390.450012,385.500000,387.450012,344.828522,2928598
2013-05-13,388.250000,388.350006,376.924988,379.200012,337.486084,1870518
2013-05-14,381.000000,382.250000,368.049988,372.549988,331.567535,2891938
2013-05-15,373.024994,377.500000,369.500000,372.774994,331.767853,3317168
2013-05-16,373.899994,374.575012,367.500000,369.450012,328.808594,1748252
2013-05-17,369.700012,374.700012,358.325012,359.975006,320.375885,3201794
2013-05-20,361.049988,367.450012,360.125000,363.899994,323.869110,1632742
2013-05-21,366.000000,371.725006,365.149994,368.325012,327.807404,2111190
2013-05-22,369.500000,376.500000,369.000000,371.825012,330.922363,2173788
2013-05-23,374.000000,375.475006,365.500000,368.424988,327.896393,2410504
2013-05-24,369.149994,373.975006,365.500000,368.774994,328.207855,1455226
2013-05-27,368.125000,374.700012,366.075012,370.850006,330.054626,1288452
2013-05-28,372.875000,373.500000,368.100006,372.424988,331.456421,1450574
2013-05-29,373.750000,379.899994,372.325012,373.750000,332.635681,2135066
2013-05-30,372.975006,375.649994,367.649994,371.000000,330.188110,2138684
2013-05-31,373.000000,375.700012,370.024994,372.424988,331.456421,2525624
2013-06-03,375.850006,375.850006,367.549988,371.075012,330.254822,1424494
2013-06-04,373.000000,373.000000,365.750000,367.799988,327.340179,974164
2013-06-05,369.424988,369.424988,360.600006,363.399994,323.424164,919602
2013-06-06,361.500000,374.750000,360.500000,373.825012,332.702393,1691072
2013-06-07,370.500000,376.950012,370.500000,372.100006,331.167084,1856680
2013-06-10,374.500000,378.225006,372.625000,376.725006,335.283356,3711146
2013-06-11,378.100006,386.350006,375.000000,377.850006,336.284637,3181500
2013-06-12,376.950012,384.850006,376.250000,381.825012,339.822327,2245040
2013-06-13,382.450012,383.375000,376.375000,378.774994,337.107880,3195872
2013-06-14,382.399994,383.225006,374.524994,381.850006,339.844482,1916404
2013-06-17,381.000000,389.450012,378.274994,388.149994,345.451538,2124370
2013-06-18,388.350006,390.799988,385.725006,389.899994,347.008972,1982550
2013-06-19,390.000000,391.375000,388.049988,389.875000,346.986725,2015196
2013-06-20,388.500000,388.500000,379.250000,379.924988,338.131256,1576210
2013-06-21,380.000000,383.200012,375.000000,379.375000,337.641815,1498196
2013-06-24,380.500000,383.649994,377.174988,380.375000,338.531769,1732330
2013-06-25,379.000000,383.500000,372.500000,375.524994,334.215424,1711298
2013-06-26,376.500000,386.000000,372.500000,383.524994,341.335236,1756472
2013-06-27,387.475006,400.000000,386.299988,397.700012,353.951019,3848470
2013-06-28,400.000000,400.000000,384.950012,388.000000,345.318024,3284160
2013-07-01,389.950012,389.950012,377.899994,379.200012,337.486084,1371284
2013-07-02,381.000000,386.350006,380.000000,383.049988,340.912598,1231948
2013-07-03,381.024994,388.000000,378.325012,383.850006,341.624573,1633440
2013-07-04,383.024994,401.000000,383.024994,399.875000,355.886749,3441860
2013-07-05,400.549988,403.500000,396.100006,397.825012,354.062256,1445252
2013-07-08,401.350006,410.799988,399.524994,409.399994,364.363953,2295638
2013-07-09,408.250000,414.075012,407.500000,411.375000,366.121735,1756908
2013-07-10,411.375000,422.000000,411.000000,419.799988,373.619904,2063596
2013-07-11,421.000000,424.500000,416.200012,420.325012,374.087128,1746506
2013-07-12,425.000000,432.625000,423.674988,431.299988,383.854797,2426814
2013-07-15,430.250000,441.475006,430.250000,437.625000,389.484070,1893242
2013-07-16,432.000000,442.450012,431.250000,438.500000,390.262787,1549062
2013-07-17,436.700012,444.350006,436.649994,437.625000,389.484070,1660756
2013-07-18,439.450012,439.450012,427.750000,429.424988,382.186066,2121144
2013-07-19,433.399994,453.450012,433.399994,446.125000,397.048981,4768540
2013-07-22,447.500000,449.750000,438.424988,445.125000,396.159027,1925832
2013-07-23,445.625000,452.924988,445.625000,450.225006,400.697968,2465650
2013-07-24,447.299988,453.975006,445.024994,450.049988,400.542206,1545034
2013-07-25,450.000000,456.450012,446.500000,451.200012,401.565735,2121722
2013-07-26,454.799988,459.450012,450.899994,451.899994,402.188721,2647718
2013-07-29,452.500000,453.850006,446.174988,448.399994,399.073669,1913768
2013-07-30,453.500000,457.475006,451.000000,452.825012,403.011963,3111148
2013-07-31,459.000000,474.950012,438.500000,468.774994,417.207336,8083686
2013-08-01,475.500000,475.750000,463.274994,465.350006,414.159149,3181898
2013-08-02,466.500000,474.725006,463.200012,467.975006,416.495361,2764360
2013-08-05,468.125000,480.500000,468.125000,474.825012,422.591827,2001988
2013-08-06,474.500000,480.000000,470.024994,472.225006,420.277863,1884744
2013-08-07,476.000000,478.000000,449.424988,453.299988,403.434662,2830518
2013-08-08,449.000000,455.174988,441.750000,452.950012,403.123230,2653792
2013-08-12,457.000000,468.000000,451.524994,466.674988,415.338440,2295722
2013-08-13,469.000000,475.850006,467.500000,470.299988,418.564697,1862652
2013-08-14,472.475006,473.450012,456.424988,460.100006,409.486725,2948756
2013-08-16,459.500000,470.475006,453.000000,460.500000,409.842651,4200692
2013-08-19,464.500000,468.725006,457.375000,465.725006,414.492889,2979624
2013-08-20,467.200012,467.200012,446.325012,449.575012,400.119507,2595508
2013-08-21,446.825012,456.899994,440.649994,442.950012,394.223297,2606762
2013-08-22,441.049988,453.325012,435.850006,451.174988,401.543488,2366998
2013-08-23,450.524994,476.500000,449.299988,473.174988,421.123352,3951114
2013-08-26,470.325012,483.250000,469.299988,472.274994,420.322388,2596152
2013-08-27,470.000000,480.475006,470.000000,473.850006,421.724091,1579588
2013-08-28,471.500000,492.450012,471.424988,490.075012,436.164307,3280796
2013-08-29,490.500000,513.075012,485.174988,508.825012,452.851654,4629334
2013-08-30,505.799988,522.450012,504.950012,520.224976,462.997589,3024524
2013-09-02,515.000000,525.000000,515.000000,519.174988,462.063141,1965680
2013-09-03,520.000000,523.400024,510.000000,511.924988,455.610626,2359126
2013-09-04,512.400024,525.424988,507.500000,519.650024,462.485962,3494070
2013-09-05,521.099976,522.349976,505.549988,509.950012,453.852997,2884166
2013-09-06,508.000000,520.674988,501.549988,508.475006,452.540192,2740694
2013-09-10,507.000000,536.474976,505.600006,531.325012,472.876587,4005880
2013-09-11,534.974976,540.625000,525.750000,533.275024,474.612061,2088426
2013-09-12,537.750000,540.924988,527.549988,537.174988,478.083008,2886632
2013-09-13,537.174988,540.049988,519.174988,522.875000,465.356140,3145154
2013-09-16,526.424988,527.000000,492.125000,498.200012,443.395477,5023134
2013-09-17,500.625000,519.900024,500.500000,518.575012,461.529144,1812802
2013-09-18,525.000000,525.000000,509.174988,514.400024,457.813446,1862988
2013-09-19,514.500000,518.924988,498.049988,512.000000,455.677368,2623740
2013-09-20,519.900024,533.799988,514.799988,530.900024,472.498352,2066824
2013-09-23,528.250000,549.625000,528.250000,545.500000,485.492218,2998654
2013-09-24,542.299988,551.974976,534.275024,536.299988,477.304321,2862742
2013-09-25,537.525024,540.474976,526.799988,531.500000,473.032379,2507858
2013-09-26,532.775024,534.700012,522.099976,526.125000,468.248657,3190220
2013-09-27,524.700012,542.000000,522.500000,536.375000,477.371033,2007316
2013-09-30,537.950012,552.000000,536.000000,543.599976,483.801208,2627178
2013-10-01,542.750000,545.000000,531.924988,535.549988,476.636688,1025872
2013-10-03,540.000000,557.875000,537.500000,552.299988,491.544250,4143956
2013-10-04,550.625000,559.750000,546.200012,548.400024,488.073212,2698722
2013-10-07,550.150024,564.775024,550.000000,559.674988,498.107849,2947852
2013-10-08,559.974976,559.974976,551.700012,553.325012,492.456421,1272392
2013-10-09,553.049988,562.000000,550.275024,555.900024,494.748291,2563278
2013-10-10,555.900024,565.000000,555.900024,558.825012,497.351318,2903410
2013-10-11,567.500000,584.200012,559.250000,578.724976,515.062439,5467492
2013-10-14,582.500000,584.000000,577.599976,579.924988,516.130310,3209702
2013-10-15,588.000000,589.224976,578.375000,580.575012,516.708801,2789670
2013-10-17,582.500000,584.150024,538.525024,541.525024,481.954498,8060804
2013-10-18,541.500000,554.700012,535.549988,551.299988,490.654114,3910048
2013-10-21,553.000000,557.099976,526.150024,542.049988,482.421753,4490738
2013-10-22,548.250000,558.250000,542.650024,554.450012,495.285278,2536510
2013-10-23,559.900024,559.950012,537.549988,553.325012,494.280151,2010728
2013-10-24,550.500000,555.000000,524.500000,527.325012,471.054749,3605224
2013-10-25,522.450012,543.950012,521.174988,539.375000,481.818756,3054960
2013-10-28,535.500000,542.150024,529.000000,531.424988,474.717133,1769818
2013-10-29,532.549988,542.400024,532.400024,540.299988,482.644989,2261806
2013-10-30,542.000000,547.200012,532.049988,542.974976,485.034576,1854732
2013-10-31,548.000000,555.799988,543.075012,547.674988,489.233185,3747244
2013-11-01,548.375000,559.950012,548.049988,551.549988,492.694611,2606228
2013-11-05,546.049988,554.900024,541.025024,550.500000,491.756683,1585574
2013-11-06,550.500000,555.849976,539.450012,541.525024,483.739349,2039256
2013-11-07,546.950012,561.700012,545.200012,551.549988,492.694611,1986424
2013-11-08,551.250000,566.250000,550.125000,557.150024,497.696991,2297154
2013-11-11,557.500000,568.950012,548.349976,551.000000,492.203278,1680296
2013-11-12,553.000000,560.250000,546.650024,548.700012,490.148773,2256384
2013-11-13,545.000000,556.000000,545.000000,548.075012,489.590454,1527346
2013-11-14,544.674988,551.875000,538.775024,542.299988,484.431549,1290316
2013-11-18,536.875000,557.174988,534.349976,548.150024,489.657532,1962534
2013-11-19,551.750000,557.000000,549.250000,551.349976,492.515991,1972614
